"","否","是","p","test"
"Heart_Disease = 否 (%)","  6488 (100.0) ","   774 ( 48.4) ","<0.001",""
"Stroke = 否 (%)","  6086 ( 93.8) ","  1324 ( 82.8) ","<0.001",""
"CVD = 是 (%)","     0 (  0.0) ","  1599 (100.0) ","<0.001",""
"PIR_Group (%)","  ","  ","<0.001",""
"   <1.3","  1614 ( 24.9) ","   471 ( 29.5) ","",""
"   1.3~3.5","  3092 ( 47.7) ","   770 ( 48.2) ","",""
"   >3.5","  1782 ( 27.5) ","   358 ( 22.4) ","",""
"BMI_Group (%)","  ","  ","<0.001",""
"   <25","  1780 ( 27.4) ","   352 ( 22.0) ","",""
"   1.1","     4 (  0.1) ","     0 (  0.0) ","",""
"   1.3","     0 (  0.0) ","     2 (  0.1) ","",""
"   1.6","     3 (  0.0) ","     0 (  0.0) ","",""
"   1.7","     1 (  0.0) ","     0 (  0.0) ","",""
"   1.8","    14 (  0.2) ","     5 (  0.3) ","",""
"   1.9","    24 (  0.4) ","    12 (  0.8) ","",""
"   25~30","  2425 ( 37.4) ","   571 ( 35.7) ","",""
"   2.1","    23 (  0.4) ","    10 (  0.6) ","",""
"   2.2","     5 (  0.1) ","     2 (  0.1) ","",""
"   2.3","     1 (  0.0) ","     1 (  0.1) ","",""
"   2.4","     0 (  0.0) ","     1 (  0.1) ","",""
"   2.5","     1 (  0.0) ","     0 (  0.0) ","",""
"   2.7","     0 (  0.0) ","     1 (  0.1) ","",""
"   2.9","     6 (  0.1) ","     1 (  0.1) ","",""
"   >30","  2201 ( 33.9) ","   641 ( 40.1) ","",""
"TyG_Index (mean (SD))","  8.78 (0.63)","  8.90 (0.64)","<0.001",""
"UA_Group = 男性>7.0,女性>6 (%)","  1551 ( 23.9) ","   550 ( 34.4) ","<0.001",""
"TyG_Group = 大于中位数 (%)","  4329 ( 66.7) ","  1169 ( 73.1) ","<0.001",""
"UA_TyG_Group (%)","  ","  ","<0.001",""
"   低UA和低TyG","  1805 ( 27.8) ","   304 ( 19.0) ","",""
"   高UA和低TyG","   354 (  5.5) ","   126 (  7.9) ","",""
"   低UA和高TyG","  3132 ( 48.3) ","   745 ( 46.6) ","",""
"   高UA和高TyG","  1197 ( 18.4) ","   424 ( 26.5) ","",""
